,Area,Classification
319,BE_52022,2
320,BE_52025,2
321,BE_52043,1
322,BE_52048,2
323,BE_52055,2
324,BE_52063,2
325,BE_52074,0
326,BE_52075,0
327,BE_53014,2
328,BE_53020,2
329,BE_53028,2
330,BE_53039,0
331,BE_53044,2
332,BE_53046,0
333,BE_53065,2
334,BE_53068,0
335,BE_53070,1
336,BE_53082,2
337,BE_53083,0
338,BE_53084,2
339,BE_54007,1
340,BE_54010,2
341,BE_55004,1
342,BE_55010,2
343,BE_55022,3
344,BE_55023,2
345,BE_55035,2
346,BE_55039,2
347,BE_55040,1
348,BE_55050,2
349,BE_56001,0
350,BE_56005,2
351,BE_56011,1
352,BE_56016,2
353,BE_56022,2
354,BE_56029,2
355,BE_56044,0
356,BE_56049,0
357,BE_56051,0
358,BE_56078,2
359,BE_56085,2
360,BE_56086,2
361,BE_56087,2
362,BE_56088,2
363,BE_57003,2
364,BE_57018,0
365,BE_57027,2
366,BE_57062,0
367,BE_57064,2
368,BE_57072,0
369,BE_57081,3
370,BE_57093,2
371,BE_57094,2
372,BE_57095,0
373,BE_61003,2
374,BE_61010,0
375,BE_61012,0
376,BE_61019,2
377,BE_61024,2
378,BE_61028,0
379,BE_61031,2
380,BE_61039,0
381,BE_61041,0
382,BE_61043,0
383,BE_61048,0
384,BE_61063,0
385,BE_61068,0
386,BE_61072,2
387,BE_61079,0
388,BE_61080,0
389,BE_61081,0
390,BE_62003,2
391,BE_62006,0
392,BE_62009,1
393,BE_62011,2
394,BE_62015,2
395,BE_62022,2
396,BE_62026,2
397,BE_62027,2
398,BE_62032,2
399,BE_62038,2
400,BE_62051,1
401,BE_62060,0
402,BE_62063,3
403,BE_62079,2
404,BE_62093,0
405,BE_62096,1
406,BE_62099,2
407,BE_62100,1
408,BE_62108,2
409,BE_62118,2
410,BE_62119,2
411,BE_62120,2
412,BE_62121,2
413,BE_62122,2
414,BE_63001,2
415,BE_63003,0
416,BE_63004,2
417,BE_63012,1
418,BE_63013,2
419,BE_63020,2
420,BE_63023,1
421,BE_63035,2
422,BE_63038,1
423,BE_63040,2
424,BE_63045,2
425,BE_63046,2
426,BE_63048,2
427,BE_63049,1
428,BE_63057,0
429,BE_63058,2
430,BE_63061,2
431,BE_63067,1
432,BE_63072,2
433,BE_63073,1
434,BE_63075,2
435,BE_63076,1
436,BE_63079,1
437,BE_63080,2
438,BE_63084,2
439,BE_63086,2
440,BE_63087,2
441,BE_63088,2
442,BE_63089,2
443,BE_64008,0
444,BE_64015,0
445,BE_64021,0
446,BE_64023,0
447,BE_64025,0
448,BE_64029,0
